Sale Date,Sale ID,Product ID,Product Name,Product Category,Quantity Sold,Unit Price,Discount (%),Total Value (with Discount),Unit Cost,Total Cost,Gross Profit,Payment Method,Payment Status,Payment Date,Customer ID,Customer Name,Sales Channel,Sales Region,Sales Representative,Customer Rating,Shipping Cost,Delivery Status,Delivery Date
2024-09-22,d08f7adf-3046-4a79-bac1-9f9c2c10ddce,PRD96586,Watch,Furniture,8,214.35,15,1457.58,154.45,1235.6,221.98,Invoice,Pending,,CUS8862,Mikayla Guzman,Online Store,Illinois,Kelly Sanders,2 stars,45.11,In Transit,
2024-04-17,a57d0a5b-93ab-43cb-9f95-925751f7af5e,PRD64994,Watch,Accessories,1,485.52,15,412.69,306.69,306.69,106.0,Credit Card,Paid,2024-04-17,CUS9368,Janet Burns,Marketplace,Florida,Jonathan Burton,1 star,42.86,In Transit,
2024-01-01,1522f9a1-c4d5-4b6d-8ae1-7d6de1e86dd0,PRD73183,Coffee Maker,Appliances,4,360.69,5,1370.62,274.5,1098.0,272.62,Bank Transfer,Paid,2024-01-03,CUS7341,James Wilson,Marketplace,Texas,Steve Sanders,4 stars,6.2,In Transit,
2024-06-22,934b76b4-adee-4ea6-a92a-9283e1c34cfd,PRD28193,Jeans,Technology,1,453.24,10,407.92,321.44,321.44,86.48,Pix,Canceled,,CUS2583,Susan Ramirez,Online Store,California,Justin Garza,3 stars,7.15,Canceled,
2024-07-02,2fb81b8e-87af-4845-9b04-6bc9c4966f18,PRD41123,Watch,Accessories,6,76.43,0,458.58,41.19,247.14,211.44,Invoice,Paid,2024-07-04,CUS9920,Megan Adams,Online Store,Illinois,Dillon Valdez MD,2 stars,36.37,Delivered,2024-07-11
2024-08-11,960eeca6-4510-4b36-ab2c-6117c685383d,PRD68291,Watch,Furniture,5,192.43,15,817.83,136.22,681.1,136.73,Bank Transfer,Pending,,CUS5636,Richard Guerra,Marketplace,New York,Robert Hood,2 stars,46.48,In Transit,
2024-06-29,d9c05f4e-5514-4f42-953a-67d302e72079,PRD92033,Smartphone,Appliances,9,120.87,15,924.66,85.19,766.71,157.95,Invoice,Pending,,CUS8227,Michael Garza,Marketplace,California,Jessica Sanchez,5 stars,18.29,Delivered,2024-07-06
2024-09-21,4bc3276c-9614-4760-a750-89a8248cf639,PRD29215,Coffee Maker,Technology,7,158.78,5,1055.89,82.0,574.0,481.89,Bank Transfer,Paid,2024-09-25,CUS3272,Robert Garcia PhD,Online Store,California,Brooke Ray,2 stars,44.66,Delivered,2024-09-22
2023-11-02,b6d2a131-4303-4801-99c8-e27e6a773f87,PRD29252,Smartphone,Furniture,8,408.09,20,2611.78,289.07,2312.56,299.22,Pix,Pending,,CUS4287,Nancy Collins,Physical Store,Florida,Joe Downs,5 stars,7.61,Canceled,
2024-09-05,50144ba7-267c-422f-9472-45c8c32ac314,PRD70798,Watch,Accessories,5,451.24,20,1804.96,244.75,1223.75,581.21,Pix,Paid,2024-09-07,CUS4444,Mrs. Leslie Chavez DDS,Marketplace,New York,Austin Carey,3 stars,7.83,In Transit,
2024-04-11,8ad5a38c-a539-4b67-b0c7-384ab98eb220,PRD76776,Smartphone,Accessories,9,158.62,20,1142.06,126.22,1135.98,6.08,Credit Card,Paid,2024-04-14,CUS7042,Christine Moon,Marketplace,New York,Jonathan Warren,4 stars,49.46,Delivered,2024-04-19
2023-12-09,04c6b4a4-1372-4d8b-a3bd-80ebad41a2d9,PRD99364,Sofa,Technology,6,214.04,0,1284.24,112.9,677.4,606.84,Credit Card,Paid,2023-12-14,CUS4018,Lindsey Davis,Physical Store,Illinois,Allen Dunn,1 star,43.74,Canceled,
2023-12-24,3b475210-eb08-450f-a909-1b2fddf832dc,PRD47575,Coffee Maker,Appliances,4,334.32,0,1337.28,217.41,869.64,467.64,Pix,Pending,,CUS7569,William Jackson,Online Store,Illinois,Theodore Jordan,3 stars,29.75,Canceled,
2024-03-12,b117dcb7-0398-4cc1-97f9-2feb9523d309,PRD22131,Jeans,Accessories,4,308.29,10,1109.84,217.6,870.4,239.44,Bank Transfer,Paid,2024-03-14,CUS5591,Jeffrey Harris,Marketplace,Texas,Steven Jones,4 stars,47.09,Canceled,
2024-04-20,440fdc7e-0241-41fd-928b-5d16403f89d6,PRD91742,Smartphone,Appliances,9,201.89,15,1544.46,145.94,1313.46,231.0,Bank Transfer,Paid,2024-04-24,CUS5582,William Jackson,Physical Store,Texas,Donald George,5 stars,13.05,Canceled,
2024-03-04,c2e1b9ac-a705-4db1-94f8-dda99d3ff446,PRD82964,Coffee Maker,Appliances,2,470.58,15,799.99,243.17,486.34,313.65,Bank Transfer,Pending,,CUS3074,Ebony Brown,Online Store,Texas,Gabriela Carter,4 stars,41.97,Canceled,
2024-10-02,57c50670-e255-423d-942b-cde727a7d2bc,PRD66621,Smartphone,Furniture,2,302.57,0,605.14,154.2,308.4,296.74,Invoice,Canceled,,CUS5657,Terry Stephens,Physical Store,Florida,Thomas Hughes,1 star,8.45,Canceled,
2024-09-18,34521207-c13d-4a62-8b39-5539cfcf9bb8,PRD14323,Coffee Maker,Clothing,1,76.26,15,64.82,46.33,46.33,18.49,Bank Transfer,Pending,,CUS5651,Sarah Luna,Marketplace,Texas,Jeffrey Williams,4 stars,14.91,Canceled,
2023-12-25,e215446f-f488-45af-9775-525f831e38be,PRD72944,Sofa,Appliances,2,114.53,5,217.61,66.95,133.9,83.71,Invoice,Pending,,CUS1343,Michael Martin,Marketplace,New York,Jonathan Miller,3 stars,7.81,Canceled,
2024-08-15,f99dcccc-227e-47c9-a2ab-73b69733318f,PRD49818,Watch,Technology,8,71.18,5,540.97,39.15,313.2,227.77,Bank Transfer,Paid,2024-08-16,CUS6327,Brian Doyle,Marketplace,New York,Ryan Stewart,1 star,18.13,Delivered,2024-08-25
