Sale Date,Sale ID,Product ID,Product Name,Product Category,Quantity Sold,Unit Price,Discount (%),Total Value (with Discount),Unit Cost,Total Cost,Gross Profit,Payment Method,Payment Status,Payment Date,Customer ID,Customer Name,Sales Channel,Sales Region,Sales Representative,Customer Rating,Shipping Cost,Delivery Status,Delivery Date
2024-03-25,bde16a79-6b4b-4f0c-b797-e0c87c439e23,PRD57852,Coffee Maker,Clothing,3,267.94,5,763.63,198.99,596.97,166.66,Pix,Canceled,,CUS9882,Nicolas Kelly,Marketplace,Illinois,Christopher Evans,1 star,43.82,In Transit,
2024-06-01,3e4b062d-1988-4a51-9c8a-52453a026514,PRD83979,Smartphone,Clothing,10,468.76,15,3984.46,236.95,2369.5,1614.96,Bank Transfer,Pending,,CUS3345,Kyle Thomas,Online Store,New York,Michael Jimenez,5 stars,38.6,Delivered,2024-06-09
2024-01-19,b943598c-ef5b-4054-8e9c-4b8f94da5e7a,PRD69213,Watch,Clothing,7,121.75,15,724.41,91.01,637.07,87.34,Pix,Paid,2024-01-19,CUS9683,Vanessa Cruz,Online Store,New York,Angela Sutton,3 stars,37.28,Delivered,2024-01-25
2023-11-12,b5b5936b-5f1b-43a2-8478-a59ed5ccff86,PRD57066,Smartphone,Appliances,1,104.56,10,94.1,74.66,74.66,19.44,Bank Transfer,Paid,2023-11-15,CUS5319,Jennifer Hughes,Online Store,Florida,Justin Walsh,4 stars,21.66,In Transit,
2023-11-02,9cccdb74-a8ce-4a31-95df-516a0a43d30f,PRD46487,Coffee Maker,Technology,5,87.41,20,349.64,66.43,332.15,17.49,Invoice,Canceled,,CUS3542,Wendy Mathis,Physical Store,Florida,Latoya Butler,1 star,24.05,Delivered,2023-11-12
2024-05-31,ea89553a-d8f1-43fd-b5ca-542751f64097,PRD45032,Sofa,Furniture,3,135.17,20,324.41,83.48,250.44,73.97,Invoice,Pending,,CUS2702,Jessica Patel,Physical Store,Illinois,Dorothy Harrison,4 stars,49.24,Canceled,
2023-11-30,c974271a-f821-4fa9-8e95-15585609f4f0,PRD95499,Smartphone,Technology,7,473.48,20,2651.49,296.86,2078.02,573.47,Credit Card,Pending,,CUS5686,John White,Online Store,Illinois,Stefanie Higgins,3 stars,42.19,Delivered,2023-12-06
2024-07-17,2db00a59-d8e6-4344-bed7-025d73e7534c,PRD27327,Jeans,Furniture,4,124.99,15,424.97,88.15,352.6,72.37,Pix,Canceled,,CUS4442,Kevin Peterson,Online Store,Illinois,Kimberly Medina,5 stars,9.47,Canceled,
2024-09-14,e1191105-c8bc-4298-9ba6-8ca291170f42,PRD78915,Sofa,Accessories,8,143.71,5,1092.2,105.76,846.08,246.12,Credit Card,Canceled,,CUS7106,Joshua Paul,Online Store,California,Mark Torres,1 star,29.71,In Transit,
2023-11-08,8b11c662-bcfe-416d-b14a-f32edf608f2d,PRD59990,Sofa,Clothing,9,167.8,0,1510.2,131.56,1184.04,326.16,Bank Transfer,Pending,,CUS8708,Noah Watkins,Marketplace,Texas,Robert Harris,3 stars,7.4,In Transit,
