Sale Date,Sale ID,Product ID,Product Name,Product Category,Quantity Sold,Unit Price,Discount (%),Total Value (with Discount),Unit Cost,Total Cost,Gross Profit,Payment Method,Payment Status,Payment Date,Customer ID,Customer Name,Sales Channel,Sales Region,Sales Representative,Customer Rating,Shipping Cost,Delivery Status,Delivery Date
2024-01-13,2b58a5ba-378f-49a2-9e6e-2762b7c26670,PRD49624,Coffee Maker,Appliances,9,349.83,15,2676.2,277.47,2497.23,178.97,Invoice,Paid,2024-01-13,CUS2015,Brittany Barry,Marketplace,New York,Sarah Bradshaw,2 stars,49.56,In Transit,
2024-10-05,2cb927f0-9b36-4c44-a70e-193b05d9cdbe,PRD28227,Sofa,Technology,8,153.22,15,1041.9,96.92,775.36,266.54,Credit Card,Pending,,CUS4074,Melinda Jones,Marketplace,New York,Jennifer Nelson,5 stars,42.89,Delivered,2024-10-07
2024-08-22,6f0846e0-4b63-4e65-b7ac-f65db23a3920,PRD76666,Coffee Maker,Appliances,1,148.77,0,148.77,85.68,85.68,63.09,Pix,Pending,,CUS6678,Matthew Williams,Marketplace,Illinois,Sheri Carter,5 stars,16.52,In Transit,
2024-08-16,4eac39f3-2c72-4504-831d-0dcd72fa50a7,PRD75997,Smartphone,Clothing,5,115.54,20,462.16,83.61,418.05,44.11,Invoice,Canceled,,CUS1441,Tony Sanchez,Marketplace,Illinois,April Stewart,3 stars,18.73,Delivered,2024-08-17
2024-08-25,14e788b1-d0fe-4a05-af7c-4434e7cae556,PRD39239,Smartphone,Clothing,6,112.01,20,537.65,86.66,519.96,17.69,Credit Card,Paid,2024-08-26,CUS8031,Robert Smith,Marketplace,Texas,Victoria Smith,1 star,35.04,Canceled,
2024-08-28,679889cb-4204-4e44-a36e-6aa1c19c61ec,PRD80085,Coffee Maker,Clothing,5,207.82,0,1039.1,164.07,820.35,218.75,Invoice,Pending,,CUS1302,Stephen Blake,Marketplace,Florida,Gregory Richardson,4 stars,27.95,Delivered,2024-09-02
2023-11-28,91968c9d-7776-4583-af36-833d7ec585b1,PRD85909,Smartphone,Furniture,5,136.74,20,546.96,107.23,536.15,10.81,Invoice,Pending,,CUS6065,Johnny Paul,Physical Store,California,Terri Adkins,3 stars,28.33,Delivered,2023-12-03
2024-06-14,8abb5287-71be-4ed6-aaf3-86ca9cd0dd8d,PRD90939,Coffee Maker,Furniture,5,444.08,0,2220.4,338.15,1690.75,529.65,Credit Card,Canceled,,CUS8518,Kimberly Farrell,Physical Store,Texas,Carrie Townsend,1 star,49.16,Delivered,2024-06-20
2024-06-23,dc930302-aff2-4929-a296-c519318afbce,PRD79488,Smartphone,Technology,8,446.24,10,3212.93,235.57,1884.56,1328.37,Invoice,Pending,,CUS5737,Susan Greer,Marketplace,Texas,Ryan Johnson,4 stars,44.07,Delivered,2024-06-28
2024-07-11,5f916680-faa9-4825-b498-849914ed1615,PRD56305,Jeans,Clothing,6,295.72,20,1419.46,223.6,1341.6,77.86,Bank Transfer,Paid,2024-07-14,CUS1664,Laura Quinn,Physical Store,Florida,Joseph Mitchell,5 stars,26.6,Canceled,
