Sale Date,Sale ID,Product ID,Product Name,Product Category,Quantity Sold,Unit Price,Discount (%),Total Value (with Discount),Unit Cost,Total Cost,Gross Profit,Payment Method,Payment Status,Payment Date,Customer ID,Customer Name,Sales Channel,Sales Region,Sales Representative,Customer Rating,Customer Comments,Shipping Cost,Delivery Status,Delivery Date
2024-07-05,3b9818aa-36ee-46d8-8416-fa199a747c31,PRD15511,Smartphone,Furniture,10,205.59,0,2055.9,153.13,1531.3,524.6,Credit Card,Canceled,,CUS5840,Michael Holland,Physical Store,New York,Joshua Mercer,3 stars,,19.56,Delivered,2024-07-13
2024-09-16,d17b9250-30bb-40bd-8dd8-3d624f053bb5,PRD12021,Jeans,Furniture,8,283.58,20,1814.91,205.54,1644.32,170.59,Credit Card,Paid,2024-09-20,CUS3868,Christopher Fischer,Online Store,Illinois,Ralph Hanson,4 stars,Order tax analysis score affect.,16.98,Canceled,
2024-02-22,c23264ad-b08f-4de8-98ba-08de7e6cfa11,PRD73155,Coffee Maker,Furniture,3,231.47,10,624.97,176.97,530.91,94.06,Bank Transfer,Paid,2024-02-22,CUS3893,Nathan Figueroa,Online Store,New York,Stephanie Miller,3 stars,Skill can spend occur floor.,16.05,Canceled,
2024-03-20,53825b2c-57e3-4f12-9689-7f243779b78b,PRD52176,Sofa,Technology,2,442.19,5,840.16,254.21,508.42,331.74,Credit Card,Canceled,,CUS5406,Leslie Chambers,Online Store,New York,Erik Morris,5 stars,Goal degree especially.,11.96,In Transit,
2023-12-14,0bd6cf16-8e62-49f8-9027-27f0ad19f585,PRD80060,Jeans,Furniture,6,194.29,0,1165.74,134.77,808.62,357.12,Bank Transfer,Pending,,CUS5271,Amanda Lopez,Physical Store,California,Jo Shelton,3 stars,,39.65,Delivered,2023-12-20
2024-05-07,b5e089bd-03fc-4cad-b6bc-6c2cb53fcb5a,PRD40127,Jeans,Appliances,7,164.61,10,1037.04,91.95,643.65,393.39,Credit Card,Canceled,,CUS1072,Amy King,Marketplace,New York,Antonio Smith,1 star,Foreign test else animal energy.,10.52,In Transit,
2024-02-12,febd06c7-3fb1-4f70-92bc-d1b93611c779,PRD27345,Coffee Maker,Technology,2,180.86,5,343.63,143.22,286.44,57.19,Credit Card,Paid,2024-02-16,CUS6213,Justin Reyes,Marketplace,New York,Ryan Alexander,5 stars,Season hundred second next forget doctor.,39.59,In Transit,
2024-05-08,d8e2dbb7-1a42-48c9-a695-0248b51f16df,PRD80672,Sofa,Clothing,8,484.97,0,3879.76,365.53,2924.24,955.52,Pix,Pending,,CUS3464,Michael Peterson,Marketplace,New York,Michael Ibarra PhD,2 stars,,43.64,Canceled,
2024-09-07,3a865a79-fb72-47e5-992b-31e57cff05fd,PRD77289,Sofa,Appliances,6,432.48,15,2205.65,245.41,1472.46,733.19,Pix,Paid,2024-09-11,CUS4997,Christian Johnson,Physical Store,Illinois,Valerie Rogers,3 stars,,46.11,Canceled,
2024-07-15,f8968f62-1612-4cba-9436-5101e25a757c,PRD56507,Coffee Maker,Furniture,5,174.95,0,874.75,113.45,567.25,307.5,Bank Transfer,Pending,,CUS7716,Rose Everett,Physical Store,California,Charles Cooper,3 stars,,8.33,In Transit,
2024-01-05,d941a305-59e0-4a16-95f3-49f493996d82,PRD74341,Smartphone,Clothing,9,131.29,15,1004.37,98.7,888.3,116.07,Pix,Canceled,,CUS1954,Rhonda Chaney,Online Store,Illinois,Scott Williams,4 stars,,45.45,Canceled,
2024-10-03,b3622e0a-5c31-49c4-bbce-a5578c11215d,PRD95012,Jeans,Appliances,8,289.89,10,2087.21,176.11,1408.88,678.33,Credit Card,Paid,2024-10-06,CUS9437,Peter Kline,Physical Store,Florida,James Allen,3 stars,,22.2,In Transit,
2024-05-18,6ef7cdff-245a-4593-9d58-3f1ef52d2436,PRD95380,Jeans,Clothing,4,134.95,20,431.84,101.68,406.72,25.12,Invoice,Paid,2024-05-19,CUS4256,Brent Mason,Marketplace,Illinois,Michelle Ball,1 star,,10.33,Canceled,
2024-04-01,b843cb8d-3565-41f8-92f3-a86f09449d83,PRD99154,Sofa,Technology,1,122.59,15,104.2,88.38,88.38,15.82,Credit Card,Paid,2024-04-01,CUS7953,Ross Cross,Online Store,California,Nicholas Mcgee,1 star,Since make cold during on instead.,41.73,Delivered,2024-04-04
2024-08-14,1f7da6bd-3876-4793-91c7-8981db4e0ade,PRD15072,Jeans,Clothing,2,140.46,5,266.87,97.44,194.88,71.99,Invoice,Canceled,,CUS6615,Richard Gray,Online Store,Texas,Yvette Stanley,4 stars,,16.31,Delivered,2024-08-17
2024-06-05,bd299b70-91c6-4837-a6ea-e6a19dd524af,PRD81755,Jeans,Technology,3,229.82,20,551.57,147.71,443.13,108.44,Pix,Canceled,,CUS7411,Mr. Jason Nelson,Marketplace,California,Anthony Mcneil,4 stars,,49.58,Delivered,2024-06-15
2024-07-25,1ef0305f-91d9-4388-8024-61fe6d7d73a3,PRD11126,Smartphone,Appliances,2,294.25,20,470.8,195.07,390.14,80.66,Pix,Pending,,CUS4267,Matthew White,Marketplace,Florida,Tyler Moreno,5 stars,,43.46,In Transit,
2024-09-17,abc8bdb1-2e35-4ac2-9de6-00d696149235,PRD28710,Watch,Technology,6,225.83,0,1354.98,138.79,832.74,522.24,Pix,Pending,,CUS6508,Taylor Knight,Online Store,Texas,Yvette Dillon,4 stars,,21.04,Canceled,
2024-10-03,1fa93504-0040-4469-b10f-ba2a9c14f850,PRD70113,Coffee Maker,Clothing,7,488.23,5,3246.73,271.04,1897.28,1349.45,Pix,Paid,2024-10-07,CUS4821,Lauren Martinez,Marketplace,Florida,Joseph Kirk,2 stars,Pay remain better.,42.27,Canceled,
2024-03-06,ec0aa063-b165-47cd-bfef-beae28d6553c,PRD21328,Smartphone,Accessories,7,166.37,20,931.67,97.94,685.58,246.09,Bank Transfer,Pending,,CUS4528,Charles Collier,Marketplace,Texas,Kathy Huerta,3 stars,,10.61,Canceled,
2024-06-18,e3ddd76b-af82-4936-9b99-0d8d95072e46,PRD34033,Jeans,Appliances,5,77.31,10,347.9,53.13,265.65,82.25,Invoice,Pending,,CUS9831,Jonathan Mayer,Physical Store,Illinois,Barbara Ramirez,3 stars,,31.81,Delivered,2024-06-27
2024-04-16,039cb43c-6464-46be-ae68-413b3f2dd226,PRD84016,Jeans,Accessories,1,160.76,5,152.72,89.93,89.93,62.79,Bank Transfer,Pending,,CUS4942,Jessica Bowers,Physical Store,Texas,Gina Simon,1 star,,34.48,Delivered,2024-04-22
2024-02-15,c1c629b7-cb5a-4f7b-a1bc-acad3c7ea2a9,PRD26440,Coffee Maker,Accessories,10,156.74,5,1489.03,87.97,879.7,609.33,Bank Transfer,Canceled,,CUS3473,David Beck,Marketplace,New York,Helen Ochoa,4 stars,,26.03,In Transit,
2024-04-11,a46f25ce-9260-4f04-8032-9e9448316af0,PRD15603,Watch,Clothing,6,314.82,10,1700.03,229.98,1379.88,320.15,Pix,Pending,,CUS7297,Kristi Contreras,Physical Store,California,Laurie Mckay,2 stars,,26.51,Delivered,2024-04-12
2024-09-29,df5a4a02-d85f-4f51-8025-be84afdd92a9,PRD75884,Coffee Maker,Clothing,8,58.88,10,423.94,30.67,245.36,178.58,Invoice,Canceled,,CUS1313,Erin Green,Online Store,Illinois,Greg Holt,2 stars,,41.2,Canceled,
2024-04-01,d0c0cbdb-e266-4cd1-b015-970b2af77853,PRD21433,Smartphone,Accessories,1,169.22,5,160.76,128.1,128.1,32.66,Credit Card,Canceled,,CUS3368,Mr. Donald Sanchez DDS,Online Store,Texas,Amanda Roberts,3 stars,,22.7,Canceled,
2024-04-24,2fed1266-6e37-4bd4-b6b6-ffc9d82ffe7f,PRD33975,Sofa,Technology,1,218.37,20,174.7,144.98,144.98,29.72,Pix,Paid,2024-04-24,CUS3308,Jeffrey Fuller,Marketplace,New York,Joshua Boyd,2 stars,,5.66,Canceled,
