Sale Date,Sale ID,Product ID,Product Name,Product Category,Quantity Sold,Unit Price,Discount (%),Total Value (with Discount),Unit Cost,Total Cost,Gross Profit,Payment Method,Payment Status,Payment Date,Customer ID,Customer Name,Sales Channel,Sales Region,Sales Representative,Customer Rating,Customer Comments,Shipping Cost,Delivery Status,Delivery Date
2024-07-03,419d6d85-3e11-481e-9b24-7a5009ed3730,PRD70077,Sofa,Furniture,9,51.59,15,394.66,26.37,237.33,157.33,Invoice,Paid,2024-07-05,CUS5272,Jamie Townsend,Online Store,California,Paige Miller,4 stars,,18.51,Delivered,2024-07-08
2023-11-29,12e9c2ce-f3a9-411b-bd39-dee71508dc7d,PRD18339,Jeans,Accessories,2,161.98,10,291.56,115.86,231.72,59.84,Bank Transfer,Pending,,CUS5486,Melanie Burnett,Online Store,Illinois,Leslie Johnson DVM,1 star,,35.31,In Transit,
2024-09-21,01b0a5d8-272c-4cce-bdc1-a829ae00f239,PRD99934,Smartphone,Accessories,7,408.88,20,2289.73,294.82,2063.74,225.99,Invoice,Canceled,,CUS8859,Amy Richards,Online Store,Florida,Rachel Perez,2 stars,Several national weight share.,19.16,Delivered,2024-09-26
2023-11-28,0cd7297b-a5b3-42e9-ad4b-7580ab0a3a7b,PRD85152,Watch,Technology,8,356.15,0,2849.2,205.96,1647.68,1201.52,Credit Card,Canceled,,CUS5527,Jonathan Robinson,Marketplace,Illinois,Andrew Cook,4 stars,,38.09,In Transit,
2024-10-12,52fc0ac4-0c71-47be-a1ca-d8311adf3892,PRD54364,Jeans,Technology,4,51.3,5,194.94,31.09,124.36,70.58,Pix,Paid,2024-10-16,CUS3405,Kristi Payne,Physical Store,New York,Robert Thomas,5 stars,Difference child and center kind.,49.74,In Transit,
2024-04-29,600c152e-154e-4e06-a782-f9e829fd04d9,PRD30592,Watch,Appliances,4,277.87,20,889.18,178.83,715.32,173.86,Bank Transfer,Pending,,CUS2423,Victoria Roberts,Marketplace,Illinois,Susan Curry,4 stars,Suggest mission husband picture bad certainly argue.,48.89,In Transit,
2024-01-28,e5430430-2927-4df4-a94f-1b5c10df000c,PRD59086,Smartphone,Accessories,2,201.58,15,342.69,122.98,245.96,96.73,Bank Transfer,Pending,,CUS1491,Veronica Lee,Online Store,California,Jeanette Brown,1 star,,47.76,In Transit,
2024-02-08,8288daf1-ddd0-41cd-afe9-19999569758d,PRD49370,Smartphone,Appliances,7,174.5,15,1038.27,125.04,875.28,162.99,Bank Transfer,Paid,2024-02-11,CUS9289,Zoe Fletcher,Online Store,Texas,Dawn Williams,1 star,,28.94,Canceled,
2024-09-28,837b085a-3b70-4fef-b2a7-8462d253d579,PRD67097,Smartphone,Technology,2,309.67,5,588.37,182.22,364.44,223.93,Invoice,Canceled,,CUS1301,Sherry Bell,Online Store,New York,Bryan Ramirez,4 stars,,7.35,Delivered,2024-10-08
2024-01-27,c94ee7cd-1e2f-48f8-a959-7c3a9ccaec13,PRD80301,Smartphone,Clothing,3,278.14,5,792.7,203.34,610.02,182.68,Pix,Paid,2024-01-31,CUS9486,Brian Henry,Marketplace,California,Henry Williamson,2 stars,,30.24,Canceled,
